ID,APCID,ProviderID,OutpatientServices,AverageSubmittedCharges,AverageTotalPayments,Year
201,12,340061,311,62.19935691,13.93951768,2012
202,12,340098,16,94.5625,17.64125,2012
203,12,340099,19,24.94736842,24.64736842,2012
204,12,340113,66,58.57075758,22.16590909,2012
205,12,350006,764,48.94633508,14.5576178,2012
206,12,350011,2444,29.70540098,13.73022913,2012
207,12,350015,233,33.29184549,14.61708155,2012
208,12,350019,3166,32.5874921,13.61311434,2012
209,12,350070,2735,30.11700183,13.62811335,2012
210,12,360003,21,83.67666667,12.9852381,2012
211,12,360010,11,114.4772727,12.45727273,2012
212,12,360048,216,263.5324074,13.74726852,2012
213,12,360059,1069,105.2507016,13.50713751,2012
214,12,360098,11,50.63636364,16.11636364,2012
215,12,360118,12,86.90666667,18.12,2012
216,12,360125,125,25.16,13.14032,2012
217,12,360147,188,29.15425532,12.5268617,2012
218,12,360180,1514,51.85733157,12.8347424,2012
219,12,370037,47,34.73361702,12.64489362,2012
220,12,370041,19,34.73684211,14.18789474,2012
221,12,370222,100,180,19.5871,2012
222,12,380009,7038,36.69488207,14.50160841,2012
223,12,380014,207,53.87439614,20.82227053,2012
224,12,380018,14,100.5885714,19.69785714,2012
225,12,380022,23,42.13043478,15.02869565,2012
226,12,380033,463,32.11663067,15.65045356,2012
227,12,380050,2297,37.24735742,14.78428385,2012
228,12,380052,15,31.46666667,16.35066667,2012
229,12,390001,31,91,12.29645161,2012
230,12,390006,2882,89.51283831,12.98381332,2012
231,12,390049,16,56.016875,21.2375,2012
232,12,390086,169,20.92899408,19.86029586,2012
233,12,390093,13,14.84153846,13.16153846,2012
234,12,390102,206,63.02723301,12.41,2012
235,12,390104,14,369.39,14.105,2012
236,12,390111,9711,36.17691278,14.10772114,2012
237,12,390113,26,167.6153846,14.18192308,2012
238,12,390164,414,79.5326087,12.40905797,2012
239,12,390168,197,307.8230964,12.43781726,2012
240,12,390223,75,36,14.10586667,2012
241,12,390231,14,250,28.18,2012
242,12,390256,3551,29.0233737,12.97542382,2012
243,12,390270,2288,88.63548951,12.47585664,2012
244,12,390321,906,44.06181015,15.49056291,2012
245,12,410001,51,318.8627451,16.88039216,2012
246,12,410007,13,135.1830769,15.98153846,2012
247,12,410011,13,145,29.7,2012
248,12,420004,2301,56,12.62266406,2012
249,12,420007,23,69.12608696,21.18695652,2012
250,12,420018,19,50.76842105,14.53526316,2012
251,12,420023,35,130.8428571,23.068,2012
252,12,420071,786,152.5900763,26.35143766,2012
253,12,420104,12,84,25.38,2012
254,12,430014,87,27.53517241,24.01816092,2012
255,12,430016,6143,33.32079766,13.55656682,2012
256,12,430027,2276,119.9103691,13.63102812,2012
257,12,440039,100,155.7825,20.3983,2012
258,12,440050,90,25.59333333,13.57666667,2012
259,12,440063,11,58.63636364,21.41727273,2012
260,12,440064,11,280.1545455,12.51636364,2012
261,12,440073,14,22.39285714,12.78857143,2012
262,12,450015,274,44.52554745,14.64043796,2012
263,12,450018,8744,52.78281107,13.52923147,2012
264,12,450039,315,107.1904762,15.30574603,2012
265,12,450054,25502,55.26992471,13.09295271,2012
266,12,450058,22,617.6577273,24.88681818,2012
267,12,450102,225,34.77813333,12.49057778,2012
268,12,450213,452,21.17920354,14.96033186,2012
269,12,450280,18,76.90555556,19.93,2012
270,12,450289,26,91.84615385,14.04615385,2012
271,12,450348,17,46.70588235,12.84,2012
272,12,450586,65,123.3230769,12.84876923,2012
273,12,450617,32,95.0271875,19.0125,2012
274,12,450662,14,248.0885714,25.20642857,2012
275,12,450690,31,31.29193548,14.6483871,2012
276,12,450754,11,50,12.84818182,2012
277,12,460009,7042,35.55927151,13.39484663,2012
278,12,460010,32,58.9715625,13.094375,2012
279,12,460054,13,78.92307692,17.24076923,2012
280,12,470001,59,34.70711864,15.27898305,2012
281,12,470003,4146,48.27761698,14.26748432,2012
282,12,490009,3532,64.59739524,13.88860136,2012
283,12,490024,445,17.08478652,13.11310112,2012
284,12,490032,691,349.6005789,13.7652822,2012
285,12,490046,2837,89.01621784,13.42205499,2012
286,12,490057,23,89,12.67782609,2012
287,12,490119,39,90.71794872,13.32410256,2012
288,12,500003,3616,32.65856748,14.70095962,2012
289,12,500005,4777,36.06028888,14.55182541,2012
290,12,500008,718,188.0517967,14.56545961,2012
291,12,500016,64,42.4375,15.05453125,2012
292,12,500030,55,41.08181818,15.53509091,2012
293,12,500036,67,27.20014925,14.22820896,2012
294,12,500041,547,53.01736746,14.21998172,2012
295,12,500044,57,161.3866667,23.67315789,2012
296,12,500050,83,41.7746988,14.61903614,2012
297,12,500051,50,167.7864,14.6008,2012
298,12,500064,148,135.6663514,21.80587838,2012
299,12,500072,132,26.71386364,15.38613636,2012
300,12,500088,14,32.11142857,14.60785714,2012
301,12,500124,42,155.7952381,15.29,2012
302,12,510001,757,114.5225363,12.22163804,2012
303,12,510038,168,11.82738095,11.5110119,2012
304,12,520002,743,27.44087483,18.89371467,2012
305,12,520019,44,59.83590909,13.61181818,2012
306,12,520027,655,103.3129771,13.9368855,2012
307,12,520028,1275,22.22196078,14.49476863,2012
308,12,520030,781,29.32074264,12.83039693,2012
309,12,520033,111,44.21621622,13.28117117,2012
310,12,520051,593,31.44856661,13.66531197,2012
311,12,520066,1279,26.21976544,13.30885848,2012
312,12,520071,243,102.4855967,13.47123457,2012
313,12,520075,40,87.52,22.5885,2012
314,12,520089,238,28.94113445,14.84176471,2012
315,12,520096,207,42.5110628,14.13057971,2012
316,12,520098,6831,25.03281657,14.50687601,2012
317,12,520100,4801,20.95464487,13.08382212,2012
318,12,520107,34,59.78235294,13.07882353,2012
319,12,520177,104,155.2307692,14.29394231,2012
320,12,520198,12,195.9791667,25.835,2012
321,12,670034,10510,55.08058991,13.10097241,2012
322,13,10001,592,371.4455405,43.73827703,2012
323,13,10005,86,175.7698837,42.24569767,2012
324,13,10006,46,166.4130435,46.89717391,2012
325,13,10012,11,551.2072727,25.86454545,2012
326,13,10016,80,204.779125,40.8985,2012
327,13,10023,130,177.5738462,52.52484615,2012
328,13,10024,103,483.9736893,52.70009709,2012
329,13,10027,13,71.15384615,41.52384615,2012
330,13,10035,60,225.8265,50.61516667,2012
331,13,10038,61,262.2842623,48.96114754,2012
332,13,10046,201,318.3428358,49.24104478,2012
333,13,10049,14,3187.532857,26.14714286,2012
334,13,10055,108,342.7525926,45.01148148,2012
335,13,10059,14,209.9521429,37.77214286,2012
336,13,10065,62,186.935,47.41967742,2012
337,13,10078,82,181.7086585,41.7154878,2012
338,13,10086,26,301.1869231,41.54769231,2012
339,13,10090,56,148.8226786,52.32357143,2012
340,13,10092,61,516.8911475,43.57868852,2012
341,13,10103,55,396.4363636,55.46254545,2012
342,13,10113,55,156.1536364,54.26454545,2012
